country,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977
布隆迪,3,14,7,2,3,72,481,77,22,62,30,71,129,67,240,26,53,55,18,2201,848,76,447,147,43,484,571,819,219,234,113,58,34,29,77,12,8,54,11,1218,363,74,270,89,0,0,0,0,0,0,0,0,0
苏丹,-1,63,218,2402,6467,2179,218,47,228,173,72,577,425,527,553,515,46,12,182,242,62,917,1438,250,110,346,3670,3030,4200,1427,25,295,380,336,162,8,95,69,9,106,131,1051,1141,0,0,0,0,0,0,0,0,0,0
加纳,1468,883,57,8,184,185,378,12,1,48,59,43,123,389,77,1470,2025,20,143,702,1646,840,1269,91,353,478,695,865,79,59,251,154,161,104,139,70,145,23,9,7,13,114,26,0,0,0,0,0,0,0,0,0,0
喀麦隆,32,85,138,120,32,185,265,492,475,463,138,1061,20,271,82,1,3,242,1063,931,106,139,7,55,163,721,1106,63,197,42,42,4,5,17,1145,743,135,88,28,2,72,87,15,0,0,0,0,0,0,0,0,0,0
津巴布韦,12,1,7,255,427,696,44,40,80,41,1,17,246,1864,223,255,87,1,33,181,685,1823,861,1034,456,87,11,1,157,153,34,90,133,12,3,15,38,200,40,35,26,12,25,0,0,0,0,0,0,0,0,0,0
马拉维,11,20,1093,4762,7414,4106,3412,814,170,190,94,9,44,74,6,13,1,202,968,1583,4830,1264,295,122,7,6,5,28,248,320,196,559,795,1465,634,455,720,226,88,38,61,64,0,0,0,0,0,0,0,0,0,0,0
乍得,-1,-1,-1,9,139,20,25,129,42,14,32,12,28,1208,590,1067,3,198,2388,1670,243,41,12,400,460,495,2789,680,518,259,51,54,15,17,2,502,769,10,5,73,86,5,0,0,0,0,0,0,0,0,0,0,0
多哥,3,2,5,42,78,66,11,7,7,19,3,33,29,301,13,1,0,0,0,535,470,65,107,152,147,190,628,228,226,2,6,9,44,66,347,281,571,285,34,13,201,304,784,83,0,0,0,0,0,0,0,0,0
阿尔及利亚,1747,2473,4336,383,191,30,21,17,14,19,19,101,15,13,6,11,1029,1164,1655,1188,334,565,533,422,314,146,102,86,56,67,73,18,8,15,11,7,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
乌干达,13,6,17,1,32,2,2,32,10,32,128,4737,1558,381,389,254,47,5,43,243,341,199,101,231,477,360,334,740,400,631,419,510,1351,614,365,55,19,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
